Title,Genra,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
stree 2,"Comedy, Horror",2024,2h 27min,7.7 (23k),UA,India,https://www.justwatch.com/in/movie/stree-2
project k,"Action & Adventure, Fantasy, Science-Fiction, Drama, Mystery & Thriller",2024,2h 56min,7.1 (54k),UA,India,https://www.justwatch.com/in/movie/project-k
kill 2024,"Action & Adventure, Crime, Drama, Mystery & Thriller",2024,1h 45min,7.6 (26k),A,India,https://www.justwatch.com/in/movie/kill-2024
munjha,"Comedy, Horror",2024,2h 3min,6.5 (20k),UA,India,https://www.justwatch.com/in/movie/munjha
stree,"Horror, Comedy, Drama",2018,2h 7min,7.5 (41k),UA,India,https://www.justwatch.com/in/movie/stree
siddharth roy,"Drama, Romance",2024,2h 28min,7.3 (2.4k),A,India,https://www.justwatch.com/in/movie/siddharth-roy
tumbbad,"Fantasy, Horror, Mystery & Thriller, Drama, Made in Europe",2018,1h 53min,8.2 (62k),A,"Sweden, India",https://www.justwatch.com/in/movie/tumbbad
raayan,"Action & Adventure, Drama, Mystery & Thriller",2024,2h 25min,6.5 (7.8k),A,India,https://www.justwatch.com/in/movie/raayan
deadpool 3,"Science-Fiction, Action & Adventure, Comedy",2024,2h 8min,8.0 (280k),A,United States,https://www.justwatch.com/in/movie/deadpool-3
maharaja 2024,"Mystery & Thriller, Action & Adventure, Crime, Drama",2024,2h 21min,8.5 (45k),,India,https://www.justwatch.com/in/movie/maharaja-2024
untitled vicky kaushal prime video project,"Romance, Comedy, Drama",2024,2h 20min,5.3 (24k),,India,https://www.justwatch.com/in/movie/untitled-vicky-kaushal-prime-video-project
laila majnu,"Romance, Drama",2018,2h 19min,7.7 (6.4k),UA,India,https://www.justwatch.com/in/movie/laila-majnu
double ismart,"Action & Adventure, Science-Fiction, Mystery & Thriller",2024,2h 36min,3.0 (1.4k),UA,India,https://www.justwatch.com/in/movie/double-ismart
bhediya,"Comedy, Horror, Mystery & Thriller",2022,2h 36min,6.7 (26k),UA,India,https://www.justwatch.com/in/movie/bhediya
the fall guy,"Action & Adventure, Comedy, Drama, Romance",2024,2h 6min,6.9 (129k),UA,"Canada, United States, Australia",https://www.justwatch.com/in/movie/the-fall-guy
salaar,"Crime, Drama, Mystery & Thriller, Action & Adventure",2023,2h 55min,6.6 (69k),A,India,https://www.justwatch.com/in/movie/salaar
chandu champion,"Drama, History, Sport, War & Military, Action & Adventure",2024,2h 22min,7.9 (30k),UA,India,https://www.justwatch.com/in/movie/chandu-champion
