Title,Genres,Release_year,Run_time,IMDB_rating,Age_rating,Production_country,Link
mirzapur,"Action & Adventure, Drama, Mystery & Thriller, Crime",2018,50min,8.4 (87k),,India,https://www.justwatch.com/in/tv-show/mirzapur
adams sweet agony,Animation,2024,3min,,,Japan,https://www.justwatch.com/in/tv-show/adams-sweet-agony
gyaarah gyaarah,"Fantasy, Drama, Science-Fiction",2024,43min,8.2 (4.6k),A,India,https://www.justwatch.com/in/tv-show/gyaarah-gyaarah
ic 814,"History, Mystery & Thriller, Drama, War & Military",2024,38min,5.5 (11k),,India,https://www.justwatch.com/in/tv-show/ic-814
shekhar home,,2024,42min,8.2 (9.8k),,India,https://www.justwatch.com/in/tv-show/shekhar-home
x x x uncensored,,2018,22min,4.8 (798),,India,https://www.justwatch.com/in/tv-show/x-x-x-uncensored
the lord of the rings the rings of power,"Drama, Action & Adventure, Science-Fiction, Fantasy",2022,1h 7min,,,United States,https://www.justwatch.com/in/tv-show/the-lord-of-the-rings-the-rings-of-power
call me bae,"Romance, Drama, Comedy",2024,39min,6.2 (5.2k),,India,https://www.justwatch.com/in/tv-show/call-me-bae
house of the dragon,"Action & Adventure, Science-Fiction, Drama, Fantasy, Romance",2022,1h 3min,8.4 (444k),A,United States,https://www.justwatch.com/in/tv-show/house-of-the-dragon
game of thrones,"Drama, Action & Adventure, Science-Fiction, Fantasy",2011,58min,,U,United States,https://www.justwatch.com/in/tv-show/game-of-thrones
terminator zero,"Science-Fiction, Animation, Action & Adventure",2024,28min,7.0 (6.7k),,"Japan, United States",https://www.justwatch.com/in/tv-show/terminator-zero
the boys,"Science-Fiction, Action & Adventure, Crime, Drama, Comedy",2019,,8.7 (721k),,United States,https://www.justwatch.com/in/tv-show/the-boys
shogun 2024,,2024,,,,,https://www.justwatch.com/in/tv-show/shogun-2024
panchayat,,2020,35min,9.0 (97k),,India,https://www.justwatch.com/in/tv-show/panchayat
from,"Mystery & Thriller, Drama, Horror, Science-Fiction",2022,50min,7.7 (84k),,United States,https://www.justwatch.com/in/tv-show/from
the frog 2024,"Crime, Drama, Mystery & Thriller",2024,58min,6.9 (2.9k),A,South Korea,https://www.justwatch.com/in/tv-show/the-frog-2024
only murders in the building,"Comedy, Crime, Drama, Mystery & Thriller",2021,35min,8.1 (164k),,United States,https://www.justwatch.com/in/tv-show/only-murders-in-the-building
attack on titan,"Drama, Fantasy, Horror, Animation, Action & Adventure, Science-Fiction",2013,25min,9.1 (536k),UA,Japan,https://www.justwatch.com/in/tv-show/attack-on-titan
bigg boss,"Kids & Family, Reality TV",2006,1h 15min,3.6 (4.1k),,India,https://www.justwatch.com/in/tv-show/bigg-boss
kaos,,2024,50min,7.5 (18k),A,United Kingdom,https://www.justwatch.com/in/tv-show/kaos
apharan,"Action & Adventure, Crime, Mystery & Thriller, Drama",2018,24min,8.2 (20k),,India,https://www.justwatch.com/in/tv-show/apharan
breaking bad,"Drama, Crime, Mystery & Thriller",2008,47min,9.5 (2m),A,United States,https://www.justwatch.com/in/tv-show/breaking-bad
terror tuesday extreme,,2024,43min,,,Thailand,https://www.justwatch.com/in/tv-show/terror-tuesday-extreme
the perfect couple,"Mystery & Thriller, Crime, Drama",2024,51min,6.6 (21k),,United States,https://www.justwatch.com/in/tv-show/the-perfect-couple
mastram,"Comedy, Drama, Fantasy",2020,28min,,,India,https://www.justwatch.com/in/tv-show/mastram
farzi,"Crime, Drama, Mystery & Thriller",2023,56min,8.4 (48k),,India,https://www.justwatch.com/in/tv-show/farzi
tribhuvan mishra ca topper,"Mystery & Thriller, Comedy, Crime, Drama",2024,,7.0 (2.7k),,India,https://www.justwatch.com/in/tv-show/tribhuvan-mishra-ca-topper
tell me lies,Drama,2022,,,A,,https://www.justwatch.com/in/tv-show/tell-me-lies
moms friends son,,2024,1h 18min,8.4 (1k),,,https://www.justwatch.com/in/tv-show/moms-friends-son
demon slayer kimetsu no yaiba,,2019,26min,8.6 (165k),,Japan,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
the old man,,2022,54min,7.6 (50k),,United States,https://www.justwatch.com/in/tv-show/the-old-man
the rookie,,2018,,8.0 (82k),,United States,https://www.justwatch.com/in/tv-show/the-rookie
